Timeline ID,Date / Period,Start date,End date,Duration,Lifecycle Stage,Event / Milestone,Regulatory / CMC Meaning,Submission / Procedure Type,Key Documents / Dossier Sections,Functional Owner,Status as of 11 May 2026,Notes / Portfolio Logic
T-022,Q3 2023,7/1/2023,9/30/2023,92,Quality Finalisation,Commercial specifications finalised,API and finished product specifications locked for the MAA,MAA CMC readiness,3.2.S.4; 3.2.P.5; method validation; batch analysis,CMC / Analytical / QA,Completed,"Includes assay, impurities, degradation products and dissolution controls."
T-023,Q4 2023,10/1/2023,12/31/2023,92,EU MAA Submission,Initial MAA submitted to EMA,First EU authorisation application filed through the centralised procedure,Centralised MAA,eCTD sequence 0000; Module 1-5; RMP; PI,Regulatory Affairs,Completed,Main initial registration milestone.
T-024,Q1 2024,1/1/2024,3/31/2024,91,EMA Assessment,Day 120 List of Questions received,"CHMP questions received on CMC, clinical safety, hepatic enzyme elevations and RMP",Centralised MAA assessment,Responses to LoQ; updated Module 2; Module 3 clarifications; RMP update,Regulatory / CMC / Clinical / PV,Completed,Cross-functional response management milestone.
T-025,Q2 2024,4/1/2024,6/30/2024,91,EMA Assessment,Day 180 List of Outstanding Issues resolved,Remaining regulatory issues closed before CHMP opinion,Centralised MAA assessment,Responses to LoOI; final PI negotiation; updated RMP,Regulatory Affairs,Completed,Can include negotiated hepatic monitoring language.
T-026,7/24/2026,7/24/2026,8/31/2024,31,CHMP Opinion,Positive CHMP opinion issued,CHMP recommends EU approval of Novalex,Centralised MAA opinion,Final assessment report; final English PI; RMP,Regulatory Affairs,Completed,Scientific approval before EC decision.
T-027,9/24/2026,9/24/2026,9/30/2024,30,European Commission Decision,EU Marketing Authorisation granted,Novalex authorised in the EU,Centralised MA,Commission Decision; Annex I; Annex II; Annex IIIA; Annex IIIB; Annex A,Regulatory Affairs,Approved,Initial indication: symptomatic relief of mild to moderate pain associated with OA of the knee and hip in adults.
T-028,10/24/2026,10/24/2026,10/31/2024,31,Launch Readiness,First EU batch release,QP release and supply chain activation completed,Commercial launch milestone,Batch release documentation; QP certification; launch checklist,QA / Supply Chain,Completed,Commercial supply begins.
T-029,11/24/2026,11/24/2026,11/30/2024,30,EU Launch,Novalex launched in Ireland,First commercial placing on the EU market,Post-authorisation commercial milestone,Launch notification; marketing status update if applicable,Regulatory / Commercial,Completed,Irish MAH and Irish manufacturing setup make this portfolio geography realistic.
T-030,12/24/2026,12/24/2026,12/31/2024,31,Pharmacovigilance,First post-launch safety review completed,Routine post-marketing safety monitoring begins,Routine PV,Safety database review; signal detection report,Pharmacovigilance,Completed,Baseline for later DILI signal narrative.
T-031,1/25/2026,1/25/2026,1/31/2025,31,Post-approval CMC,Minor editorial update to Module 3 assessed,Administrative or formatting correction after approval,Type IA or no variation depending content,Module 3 editorial table; eAF if variation required,Regulatory CMC,Completed,"If approved dossier text changes, include as variation; if purely non-substantive, document internally."
T-032,3/25/2026,3/25/2026,3/31/2025,31,Packaging Lifecycle,56-tablet pack operational readiness completed,Commercial readiness for 2-month pack supply confirmed,Type IA/IAIN/IB depending approved pack status,Annex A; PI; 3.2.P.7; packaging specifications,Regulatory CMC / Packaging,Completed,"Current packaging includes 14, 28 and 56 tablet pack sizes."
T-033,6/25/2026,6/25/2026,6/30/2025,30,PSUR No.1,First PSUR submitted,Routine post-authorisation benefit-risk review completed,PSUR procedure,PSUR; signal summary; exposure estimate,PV / Regulatory Safety,Completed,No major regulatory action yet; hepatic enzyme elevations remain under monitoring.
T-034,7/25/2026,7/25/2026,7/31/2025,31,Type IA Annual Update Planning,IA annual update cycle prepared,Eligible minor IA changes collected for annual update,Type IA annual update planning,Cover letter; eAF; precise scope; present/proposed table,Regulatory Operations,Completed,IA changes not requiring immediate notification are normally collected into annual updates.
T-035,9/25/2026,9/25/2026,9/30/2025,30,SUB-004,Shelf-life extension approved and implemented,Shelf life extended to 36 months,"Variation, likely Type IB or Type II depending data and exact classification",3.2.P.8.1; 3.2.P.8.2; 3.2.P.8.3; updated PI if impacted,CMC / Stability / Regulatory,Approved,Current Novalex shelf life is 36 months.
T-036,10/25/2026,10/25/2026,10/31/2025,31,Post-approval Clinical Safety,Hepatic safety signal under surveillance,Elevated ALT/AST pattern reviewed internally,"Signal management, not yet variation",Signal evaluation report; cumulative safety review,Pharmacovigilance,Completed,Links to Phase III ALT/AST elevations.
T-037,12/25/2026,12/25/2026,12/31/2025,31,PSUR No.2,DILI cluster detected,42 spontaneous DILI reports identified in EudraVigilance,PSUR / signal detection,PSUR No.2; signal validation; case narratives; exposure calculation,Pharmacovigilance,Completed,"42 confirmed DILI cases across approximately 280,000 patient-years; classified as rare."
T-038,1/26/2026,1/26/2026,1/31/2026,31,Signal Validation,DILI signal confirmed as probable,Medical safety team and external hepatologist conclude probable causality,Signal management,Signal validation report; Bradford Hill causality assessment; benefit-risk memo,PV / Medical Safety,Completed,Primary regulatory trigger for Type II safety variation SUB-006.
T-039,1/26/2026,1/26/2026,1/31/2026,31,SUB-006 Preparation,Type II safety variation drafted,"SmPC, PIL and RMP update prepared for DILI identified risk",Type II C-category safety variation,SmPC 4.4; SmPC 4.8; PIL; RMP Part II Module SVII; RMP Part V,Regulatory Safety / PV,Completed,Adds hepatotoxicity warning and rare DILI adverse reaction.
T-040,2/26/2026,2/26/2026,2/28/2026,28,SUB-006 Submission,DILI Type II variation submitted to EMA,Formal EU label and RMP update submitted,Type II variation,eAF; cover letter; clinical overview addendum; RMP; PI tracked changes,Regulatory Affairs / PV,Submitted,DHPC not required in this fictional narrative; routine risk minimisation considered sufficient.
T-041,3/26/2026,3/26/2026,3/31/2026,31,Type IA Annual Update,Minor IA annual update submitted,Eligible minor implemented changes consolidated,Type IA annual update,eAF; precise scope; present/proposed table; supporting documents,Regulatory Operations,Submitted / Completed,EMA reviews Type IA/IAIN notifications within 30 days.
T-042,3/26/2026,3/26/2026,3/31/2026,31,SUB-010 Planning,New API manufacturer qualification begins,"Synthia Pharma AG, Zurich proposed as additional or replacement API manufacturer",Quality variation planning,3.2.S.2.1-3.2.S.2.6; GMP/QP declarations; batch analysis; stability,CMC / Supplier Quality,In Progress,"Potential variation depends on route, impurity profile and comparability data."
T-043,4/26/2026,4/26/2026,4/30/2026,30,SUB-006 Assessment,EMA/CHMP assessment of DILI variation ongoing,Questions or clarifications handled during Type II review,Type II assessment,Response package; updated PI/RMP if requested,Regulatory Safety / PV,Pending Health Authority,High-priority safety variation.
T-044,5/26/2026,5/26/2026,5/31/2026,31,Current Status,SmPC v4.0 updated for DILI pending EC Decision,Scientific position agreed or near-agreed; legal MA update pending,Type II post-opinion / EC decision stage,Final PI; RMP; annexes,Regulatory Affairs,Pending EC Decision,Current as of 11 May 2026.
T-045,5/11/2026,5/11/2026,5/11/2026,1,Today / Portfolio Cut-off,Current lifecycle snapshot recorded,Tracker status date for Novalex project,Internal tracker milestone,Submission tracker; regulatory trigger log; variation register,Regulatory Operations,Current,Use this as the as-of date in Power BI/dashboard.
T-046,6/26/2026,6/26/2026,6/30/2026,30,SUB-010 Submission Target,API manufacturer variation submission planned,Add or replace Synthia Pharma AG as API manufacturer,Type IB or Type II depending change impact,3.2.S; QP declaration; batch analysis; impurity comparison; stability commitment,Regulatory CMC / Supplier Quality,Planned,"If synthetic route or impurity profile significantly changes, classification may increase to Type II."
T-047,7/26/2026,7/26/2026,7/31/2026,31,SUB-006 EC Decision Target,EC decision expected for DILI update,Legal update to MA annexes completed,Type II closure,Commission Decision; final PI all EU languages; final RMP,Regulatory Affairs,Planned,Implementation of updated safety wording begins after EC decision.
T-048,8/26/2026,8/26/2026,8/31/2026,31,Artwork Implementation,DILI label implemented in packaging,Updated PIL and safety wording enter commercial artwork cycle,Post-approval implementation,Artwork change control; packaging component specifications; QA release,Regulatory / Artwork / QA,Planned,Safety labelling change required.
T-049,9/26/2026,9/26/2026,9/30/2026,30,Risk Minimisation Effectiveness,First post-DILI label effectiveness check,Monitor whether LFT monitoring language is understood and implemented,RMP follow-up,RMP effectiveness metrics; PV signal report,PV / Medical Affairs,Planned,Supports routine risk minimisation sufficiency.
T-050,Q4 2026,10/1/2026,12/31/2026,92,PSUR No.3,Next PSUR after DILI update,Evaluate DILI reporting after label and RMP update,PSUR,PSUR; interval and cumulative cases; benefit-risk evaluation,Pharmacovigilance,Planned,Shows full PV lifecycle follow-up.
T-051,Q1 2027,1/1/2027,3/31/2027,90,Potential Type II,Hepatic impairment wording refinement,Additional PK or safety data may justify modified dose advice,Type II safety/clinical variation,SmPC 4.2; 4.4; 4.8; 5.2; clinical overview addendum,Clinical Pharmacology / PV,Planned,Relevant because novalexib is hepatically metabolised via CYP3A4 and CYP2C9.
T-052,Q2 2027,4/1/2027,6/30/2027,91,Potential IB/II CMC,Dissolution specification tightening,Improve control of BCS Class II product performance,Type IA/IB/II depending scope,3.2.P.5.1; 3.2.P.5.2; validation; dissolution trend data,CMC / Analytical,Planned,Dissolution is a critical quality attribute for Novalex.
T-053,Q3 2027,7/1/2027,9/30/2027,92,Potential Extension,New 75 mg strength feasibility assessment,Higher-strength development assessed; may raise safety and dose concerns,Extension or Type II depending strategy,3.2.P; BE study; clinical safety justification; PI update,Regulatory Strategy / Clinical / CMC,Planned / Optional,"Current maximum daily dose is 50 mg, so 75 mg would be high-risk."
T-054,Q4 2027,10/1/2027,12/31/2027,92,Lifecycle Expansion,New indication feasibility: hand osteoarthritis,Clinical development strategy for additional OA population,Type II C.6 if submitted,Clinical protocol; RMP update; SmPC/PIL update,Clinical Strategy / Regulatory,Planned / Optional,New or modified therapeutic indication normally requires Type II variation.
T-055,2028,1/1/2028,12/31/2028,366,Lifecycle Maintenance,Manufacturing process optimisation,Scale-up or process parameter optimisation at NovaTech Cork,Type IA/IB/II depending risk,3.2.P.3.3; 3.2.P.3.4; process validation; dissolution comparison,MSAT / CMC / QA,Future,Solid oral process changes may need dissolution comparison and BE justification.
T-056,2028,1/1/2028,12/31/2028,366,Lifecycle Maintenance,Alternative blister material assessment,Improve moisture protection or supply resilience,Type IA/IB/II depending packaging impact,3.2.P.7; 3.2.P.8; packaging specifications; stability,Packaging / CMC,Future,Packaging changes generally need stability and compatibility evidence.
T-057,2029,1/1/2029,12/31/2029,365,Renewal Preparation,EU renewal dossier planning,Long-term lifecycle renewal preparation if applicable,Renewal,Consolidated quality/safety/efficacy review; PSUR history; RMP; PI,Regulatory Affairs / PV,Future,Useful for long-term lifecycle management story.
T-058,2029-2030,1/1/2029,12/31/2030,730,Mature Lifecycle,Generic-readiness and competitive monitoring,Prepare for market competition and manage post-approval commitments,Internal lifecycle strategy,Patent and exclusivity tracker; variation history; commitments register,Regulatory Strategy,Future,Not a variation itself but useful for regulatory operations realism.
